Time (h),OD600 (-),[Glucose] (g/L),[Xylose] (g/L),trajectory_id
128.0,1.0307,0.0379,0.0,2:1_0044
128.0,0.998,0.1511,0.1228,2:1_0044
128.0,1.0279,0.0955,0.0465,2:1_0044
144.0,1.0181,0.005,0.1699,2:1_0044
144.0,1.0021,0.024,0.0,2:1_0044
144.0,0.9828,0.1815,0.0617,2:1_0044
24.0,0.181,21.4195,10.4833,2:1_0045
24.0,0.1787,21.4159,10.327,2:1_0045
24.0,0.2295,21.4744,10.4644,2:1_0045
32.333,0.2845,21.0473,10.5448,2:1_0045
32.333,0.2365,21.1947,10.5004,2:1_0045
32.333,0.2009,21.0113,10.6166,2:1_0045
48.0,0.6322,19.6728,10.5807,2:1_0045
48.0,0.6328,19.4418,10.6145,2:1_0045
48.0,0.6793,19.444,10.6035,2:1_0045
55.5,1.0501,17.2585,10.447,2:1_0045
55.5,1.0161,17.0328,10.3065,2:1_0045
55.5,1.0677,17.1393,10.3225,2:1_0045
72.0,2.3866,0.8843,10.0757,2:1_0045
72.0,2.4079,0.7991,10.1643,2:1_0045
72.0,2.3547,0.8571,9.9944,2:1_0045
80.0,2.5497,0.0,7.8303,2:1_0045
80.0,2.5476,0.0,7.6843,2:1_0045
80.0,2.5772,0.0736,7.703,2:1_0045
96.0,2.7852,0.0,2.6214,2:1_0045
96.0,2.8306,0.1047,2.4957,2:1_0045
96.0,2.8285,0.1027,2.5007,2:1_0045
104.0,2.8903,0.0,0.6782,2:1_0045
104.0,2.9086,0.0,0.6067,2:1_0045
104.0,2.8931,0.0791,0.4982,2:1_0045
120.0,2.9031,0.0,0.0,2:1_0045
120.0,2.9315,0.0,0.0955,2:1_0045
120.0,2.9545,0.0414,0.1169,2:1_0045
128.0,2.9071,0.0,0.0518,2:1_0045
128.0,2.9246,0.0,0.1428,2:1_0045
128.0,2.9314,0.0702,0.0,2:1_0045
144.0,2.959,0.0,0.1019,2:1_0045
144.0,2.9138,0.0169,0.0558,2:1_0045
144.0,2.9653,0.0,0.0203,2:1_0045
24.0,0.2944,20.6939,11.0185,2:1_0046
24.0,0.2605,20.4224,11.0248,2:1_0046
24.0,0.3137,20.4069,10.9718,2:1_0046
32.333,0.4742,19.7839,10.9258,2:1_0046
32.333,0.4305,19.6203,11.1465,2:1_0046
32.333,0.4688,19.624,11.1547,2:1_0046
48.0,1.1831,14.6736,10.8672,2:1_0046
48.0,1.1652,14.8801,10.995,2:1_0046
48.0,1.1614,14.6461,11.0405,2:1_0046
55.5,1.7518,8.2713,10.8587,2:1_0046
55.5,1.7596,8.2906,10.8819,2:1_0046
55.5,1.7316,8.2692,11.0339,2:1_0046
72.0,2.6861,0.007,0.1429,2:1_0046
72.0,2.7051,0.0,0.2514,2:1_0046
72.0,2.7272,0.2107,0.089,2:1_0046
80.0,2.7251,0.031,0.0896,2:1_0046
80.0,2.7496,0.0094,0.0,2:1_0046
80.0,2.7082,0.0143,0.1123,2:1_0046
96.0,2.6935,0.0,0.0757,2:1_0046
96.0,2.6965,0.0,0.1137,2:1_0046
96.0,2.718,0.0,0.1368,2:1_0046
104.0,2.7011,0.0,0.1629,2:1_0046
104.0,2.7271,0.068,0.0,2:1_0046
104.0,2.7203,0.0,0.0318,2:1_0046
120.0,2.739,0.0196,0.1061,2:1_0046
120.0,2.7357,0.0,0.0,2:1_0046
120.0,2.7134,0.0753,0.0462,2:1_0046
128.0,2.725,0.1014,0.0,2:1_0046
128.0,2.7103,0.0,0.0252,2:1_0046
128.0,2.7335,0.0,0.0,2:1_0046
144.0,2.7305,0.0128,0.0,2:1_0046
144.0,2.7165,0.0374,0.1653,2:1_0046
144.0,2.7006,0.079,0.0,2:1_0046
24.0,0.2665,18.8724,10.8612,2:1_0047
24.0,0.2988,18.9405,10.8483,2:1_0047
24.0,0.2846,18.8669,10.7671,2:1_0047
32.333,0.3722,18.5565,10.8973,2:1_0047
32.333,0.3159,18.5189,10.8942,2:1_0047
32.333,0.3393,18.4599,10.9026,2:1_0047
48.0,0.6933,17.2154,10.8564,2:1_0047
48.0,0.6745,17.1484,11.001,2:1_0047
48.0,0.6756,17.2874,10.9199,2:1_0047
55.5,0.8762,16.1984,10.9717,2:1_0047
55.5,0.9102,16.1526,10.834,2:1_0047
55.5,0.9246,16.0241,10.8634,2:1_0047
72.0,1.5979,10.735,10.8819,2:1_0047
72.0,1.6411,10.7279,10.8221,2:1_0047
72.0,1.5813,10.8421,10.7233,2:1_0047
80.0,2.0688,5.8021,10.851,2:1_0047
80.0,2.0257,5.857,10.8682,2:1_0047
80.0,1.9874,5.9377,10.5066,2:1_0047
96.0,2.641,0.0,5.8655,2:1_0047
96.0,2.6927,0.0,5.5073,2:1_0047
96.0,2.6569,0.0,5.9644,2:1_0047
104.0,2.8702,0.0,0.7849,2:1_0047
104.0,2.8834,0.0,1.033,2:1_0047
104.0,2.8667,0.1415,0.7482,2:1_0047
120.0,2.8743,0.0829,0.0,2:1_0047
120.0,2.9038,0.0,0.0,2:1_0047
120.0,2.9218,0.0,0.0,2:1_0047
128.0,2.9249,0.1175,0.0,2:1_0047
128.0,2.9291,0.0,0.0577,2:1_0047
128.0,2.9123,0.0,0.2053,2:1_0047
144.0,2.9137,0.0,0.002,2:1_0047
144.0,2.8917,0.0,0.0,2:1_0047
144.0,2.9014,0.0,0.1251,2:1_0047
24.0,0.1884,19.2469,11.302,2:1_0048
24.0,0.1876,19.2639,11.3364,2:1_0048
24.0,0.1908,19.282,11.0587,2:1_0048
32.333,0.2599,19.0735,11.1466,2:1_0048
32.333,0.1741,19.4434,11.1404,2:1_0048
32.333,0.1943,19.1763,11.0965,2:1_0048
48.0,0.1969,19.1607,11.2212,2:1_0048
48.0,0.198,19.4233,11.0743,2:1_0048
48.0,0.1824,19.2215,11.2006,2:1_0048
55.5,0.2663,17.7052,10.9329,2:1_0048
55.5,0.2109,17.7107,11.1608,2:1_0048
55.5,0.2005,17.5904,11.4009,2:1_0048
72.0,0.4044,7.6395,11.2371,2:1_0048
72.0,0.3807,7.719,10.8994,2:1_0048
72.0,0.4131,7.5453,11.0714,2:1_0048
80.0,0.5711,0.0347,9.5316,2:1_0048
80.0,0.5328,0.0734,9.841,2:1_0048
80.0,0.5615,0.1778,9.7378,2:1_0048
96.0,0.6003,0.0,0.0,2:1_0048
96.0,0.623,0.0,0.0,2:1_0048
96.0,0.6248,0.0,0.044,2:1_0048
104.0,0.5973,0.0288,0.0,2:1_0048
104.0,0.5755,0.0956,0.0,2:1_0048
104.0,0.6086,0.0,0.0544,2:1_0048
120.0,0.6202,0.0542,0.0,2:1_0048
120.0,0.6126,0.0417,0.1545,2:1_0048
120.0,0.6197,0.0,0.0268,2:1_0048
128.0,0.6103,0.0,0.0,2:1_0048
128.0,0.6122,0.0018,0.0,2:1_0048
128.0,0.6313,0.0,0.0,2:1_0048
144.0,0.5971,0.0,0.0,2:1_0048
144.0,0.5976,0.0,0.0,2:1_0048
144.0,0.616,0.0,0.0,2:1_0048
24.0,0.2485,21.896,8.4795,2:1_0049
24.0,0.2099,21.9602,8.4176,2:1_0049
24.0,0.2779,22.0155,8.2372,2:1_0049
32.333,0.231,21.9975,8.405,2:1_0049
32.333,0.2089,22.0267,8.3562,2:1_0049
32.333,0.2425,21.8561,8.399,2:1_0049
48.0,0.2501,22.0096,8.4555,2:1_0049
48.0,0.2304,21.9697,8.3732,2:1_0049
48.0,0.2007,22.0176,8.6054,2:1_0049
55.5,0.3673,18.8346,8.2738,2:1_0049
55.5,0.3727,18.8573,8.4707,2:1_0049
55.5,0.3759,18.9678,8.2832,2:1_0049
72.0,0.9261,0.4769,4.8804,2:1_0049
72.0,0.93,0.5841,4.8717,2:1_0049
72.0,0.9517,0.2989,4.9789,2:1_0049
80.0,1.0498,0.1263,0.5369,2:1_0049
80.0,1.0245,0.1161,0.4755,2:1_0049
80.0,1.0173,0.0431,0.521,2:1_0049
96.0,1.0056,0.0,0.0,2:1_0049
96.0,1.0077,0.0,0.0,2:1_0049
96.0,1.052,0.0973,0.0328,2:1_0049
104.0,1.0357,0.2087,0.0,2:1_0049
104.0,1.0369,0.0,0.0,2:1_0049
104.0,1.0558,0.0,0.0695,2:1_0049
120.0,1.0272,0.1247,0.0,2:1_0049
120.0,1.0554,0.0894,0.0,2:1_0049
120.0,1.0218,0.1021,0.1637,2:1_0049
128.0,1.0464,0.0,0.0,2:1_0049
128.0,1.0435,0.0,0.0,2:1_0049
128.0,1.0276,0.0882,0.1806,2:1_0049
144.0,1.0527,0.001,0.0,2:1_0049
144.0,1.0455,0.1665,0.1004,2:1_0049
144.0,1.0363,0.0,0.0345,2:1_0049
24.0,0.2684,20.8824,8.8717,2:1_0050
24.0,0.2784,20.8256,8.7163,2:1_0050
24.0,0.271,20.6739,8.8434,2:1_0050
32.333,0.2887,20.7055,8.871,2:1_0050
32.333,0.307,20.7009,8.7963,2:1_0050
32.333,0.2961,20.8033,8.6917,2:1_0050
48.0,0.2771,20.7565,8.8118,2:1_0050
48.0,0.2833,20.9605,8.808,2:1_0050
48.0,0.2515,20.813,9.0037,2:1_0050
55.5,1.0165,18.8621,8.7818,2:1_0050
55.5,1.0315,18.875,8.6607,2:1_0050
55.5,1.0064,18.8994,8.8659,2:1_0050
72.0,3.6888,0.0,0.0045,2:1_0050
72.0,3.6849,0.0,0.0467,2:1_0050
72.0,3.6767,0.0306,0.0,2:1_0050
80.0,3.679,0.0,0.1365,2:1_0050
80.0,3.6661,0.0,0.0,2:1_0050
80.0,3.7238,0.1948,0.0,2:1_0050
96.0,3.7112,0.0,0.0,2:1_0050
96.0,3.7059,0.0,0.0,2:1_0050
96.0,3.7095,0.0,0.0457,2:1_0050
104.0,3.6659,0.0094,0.1342,2:1_0050
104.0,3.6961,0.0,0.0,2:1_0050
104.0,3.7083,0.0928,0.0,2:1_0050
120.0,3.6912,0.0,0.0124,2:1_0050
120.0,3.6867,0.0,0.1616,2:1_0050
120.0,3.6644,0.0,0.0231,2:1_0050
128.0,3.6927,0.0,0.0273,2:1_0050
128.0,3.7056,0.0,0.0,2:1_0050
128.0,3.7014,0.0167,0.0483,2:1_0050
144.0,3.6888,0.0347,0.095,2:1_0050
144.0,3.7014,0.0,0.0,2:1_0050
144.0,3.6881,0.0,0.0,2:1_0050
24.0,0.3108,17.8831,9.9916,2:1_0051
24.0,0.3073,18.0198,9.8778,2:1_0051
24.0,0.3329,18.1189,10.1854,2:1_0051
32.333,1.1404,0.0156,0.1478,2:1_0051
32.333,1.1124,0.0,0.0177,2:1_0051
32.333,1.1199,0.4088,0.1622,2:1_0051
48.0,1.1131,0.0484,0.0475,2:1_0051
48.0,1.1064,0.0756,0.0,2:1_0051
48.0,1.0879,0.0482,0.0615,2:1_0051
55.5,1.1053,0.031,0.0961,2:1_0051
55.5,1.1071,0.0,0.0,2:1_0051
55.5,1.1031,0.1535,0.0,2:1_0051
72.0,1.1154,0.0,0.0,2:1_0051
72.0,1.0906,0.01,0.0,2:1_0051
72.0,1.1336,0.0,0.0,2:1_0051
80.0,1.1046,0.0371,0.1491,2:1_0051
80.0,1.0874,0.0278,0.0,2:1_0051
80.0,1.1326,0.0,0.0,2:1_0051
96.0,1.0827,0.0814,0.0,2:1_0051
96.0,1.1137,0.0,0.0,2:1_0051
96.0,1.0947,0.0,0.0,2:1_0051
104.0,1.1196,0.0,0.0421,2:1_0051
104.0,1.1033,0.0611,0.0415,2:1_0051
104.0,1.0974,0.0,0.0956,2:1_0051
120.0,1.0919,0.0501,0.0031,2:1_0051
120.0,1.0989,0.0429,0.1368,2:1_0051
120.0,1.1207,0.0129,0.1621,2:1_0051
128.0,1.0747,0.0,0.0,2:1_0051
128.0,1.1366,0.0943,0.0,2:1_0051
128.0,1.0994,0.0,0.0,2:1_0051
144.0,1.1262,0.0976,0.0268,2:1_0051
144.0,1.0997,0.0,0.0683,2:1_0051
144.0,1.1551,0.0,0.1589,2:1_0051
24.0,0.2149,20.2102,8.2871,2:1_0052
24.0,0.2267,20.0887,8.7339,2:1_0052
24.0,0.2245,20.1225,8.5369,2:1_0052
32.333,0.3561,19.8202,8.4112,2:1_0052
32.333,0.3409,19.7193,8.5481,2:1_0052
32.333,0.3485,19.6369,8.6138,2:1_0052
48.0,0.9831,16.7572,8.5312,2:1_0052
48.0,0.9724,16.8755,8.4753,2:1_0052
48.0,0.9492,16.8957,8.5623,2:1_0052
55.5,1.4812,13.259,8.4763,2:1_0052
55.5,1.4483,13.351,8.3292,2:1_0052
55.5,1.4315,13.4177,8.4333,2:1_0052
72.0,2.3453,2.5388,8.3825,2:1_0052
72.0,2.3607,2.2455,8.1847,2:1_0052
72.0,2.3202,2.2607,8.1865,2:1_0052
80.0,2.4848,0.4239,7.0662,2:1_0052
80.0,2.5136,0.5658,7.1532,2:1_0052
80.0,2.5121,0.3719,7.1399,2:1_0052
96.0,2.665,0.0865,3.218,2:1_0052
96.0,2.675,0.0488,3.4504,2:1_0052
96.0,2.6904,0.0006,3.3025,2:1_0052
104.0,2.7493,0.0,1.898,2:1_0052
104.0,2.7579,0.0369,2.0228,2:1_0052
104.0,2.7428,0.0,1.8395,2:1_0052
120.0,2.7828,0.0,0.5388,2:1_0052
120.0,2.756,0.0,0.4889,2:1_0052
120.0,2.7749,0.0,0.6128,2:1_0052
128.0,2.7954,0.0622,0.2707,2:1_0052
128.0,2.8048,0.0,0.5172,2:1_0052
128.0,2.7757,0.0,0.4252,2:1_0052
144.0,2.8041,0.1202,0.1313,2:1_0052
144.0,2.8423,0.0,0.205,2:1_0052
144.0,2.785,0.0492,0.1682,2:1_0052
24.0,0.2767,22.136,11.2518,2:1_0053
24.0,0.2738,21.9453,11.1532,2:1_0053
24.0,0.2449,21.874,11.2691,2:1_0053
32.333,0.632,0.0,5.4668,2:1_0053
32.333,0.5862,0.0018,5.4594,2:1_0053
32.333,0.6359,0.0,5.3574,2:1_0053
48.0,0.6709,0.1234,0.0,2:1_0053
48.0,0.6943,0.1137,0.0,2:1_0053
48.0,0.6722,0.0,0.0,2:1_0053
55.5,0.6906,0.0473,0.0263,2:1_0053
55.5,0.6531,0.021,0.0,2:1_0053
55.5,0.6763,0.0,0.1051,2:1_0053
72.0,0.6675,0.0231,0.0233,2:1_0053
72.0,0.6733,0.0105,0.0304,2:1_0053
72.0,0.6569,0.0403,0.0864,2:1_0053
80.0,0.6827,0.0,0.0174,2:1_0053
80.0,0.6675,0.0,0.0,2:1_0053
80.0,0.7024,0.1935,0.0,2:1_0053
96.0,0.6905,0.1458,0.0,2:1_0053
96.0,0.6316,0.1517,0.0,2:1_0053
96.0,0.6644,0.0047,0.0,2:1_0053
104.0,0.734,0.0,0.0327,2:1_0053
104.0,0.7006,0.1287,0.1096,2:1_0053
104.0,0.6663,0.0,0.0,2:1_0053
120.0,0.6733,0.0033,0.0742,2:1_0053
120.0,0.7107,0.0711,0.1071,2:1_0053
120.0,0.6744,0.1284,0.0011,2:1_0053
128.0,0.6976,0.0804,0.0393,2:1_0053
128.0,0.644,0.1093,0.0378,2:1_0053
128.0,0.6888,0.0314,0.0486,2:1_0053
144.0,0.7008,0.0,0.0468,2:1_0053
144.0,0.6592,0.0577,0.0251,2:1_0053
144.0,0.6622,0.0094,0.0,2:1_0053
24.0,0.2784,18.7634,10.9196,2:1_0054
24.0,0.3091,18.6281,10.7593,2:1_0054
24.0,0.2829,18.7883,10.7573,2:1_0054
32.333,0.4719,17.745,10.9194,2:1_0054
32.333,0.4966,17.6986,10.6425,2:1_0054
32.333,0.459,17.5017,10.7886,2:1_0054
48.0,1.3179,11.066,10.6966,2:1_0054
48.0,1.3438,11.0986,10.6841,2:1_0054
48.0,1.304,10.8198,10.8597,2:1_0054
55.5,1.8555,3.2861,10.5156,2:1_0054
55.5,1.8446,3.4487,10.469,2:1_0054
55.5,1.8928,3.5194,10.613,2:1_0054
72.0,2.4396,0.0,2.1826,2:1_0054
72.0,2.4248,0.1994,2.2614,2:1_0054
72.0,2.4386,0.1519,2.3118,2:1_0054
80.0,2.5022,0.073,0.1766,2:1_0054
80.0,2.523,0.0512,0.17,2:1_0054
80.0,2.5209,0.16,0.1568,2:1_0054
96.0,2.552,0.0,0.1807,2:1_0054
96.0,2.5085,0.0,0.1514,2:1_0054
96.0,2.5567,0.0818,0.0,2:1_0054
104.0,2.5273,0.0001,0.0,2:1_0054
104.0,2.5396,0.0,0.0,2:1_0054
104.0,2.4932,0.1712,0.0,2:1_0054
120.0,2.5159,0.0,0.1368,2:1_0054
120.0,2.498,0.0,0.0,2:1_0054
120.0,2.5252,0.0659,0.0,2:1_0054
128.0,2.5565,0.0,0.0,2:1_0054
128.0,2.5036,0.0,0.0,2:1_0054
128.0,2.5407,0.0,0.0,2:1_0054
144.0,2.5051,0.0,0.1107,2:1_0054
144.0,2.5577,0.1269,0.0,2:1_0054
144.0,2.499,0.1978,0.0,2:1_0054
24.0,0.2437,20.6252,11.4376,2:1_0055
24.0,0.2333,20.479,11.4481,2:1_0055
24.0,0.2362,20.423,11.5384,2:1_0055
32.333,0.2265,20.1055,11.3649,2:1_0055
32.333,0.2268,20.2207,11.3002,2:1_0055
32.333,0.2536,20.3846,11.435,2:1_0055
48.0,0.2286,19.5038,11.4382,2:1_0055
48.0,0.2182,19.4719,11.2514,2:1_0055
48.0,0.2598,19.8114,11.29,2:1_0055
55.5,0.2804,19.2024,11.2797,2:1_0055
55.5,0.2954,19.4748,11.4529,2:1_0055
55.5,0.2714,19.2651,11.3969,2:1_0055
72.0,0.2865,18.5258,11.5672,2:1_0055
72.0,0.2693,18.4709,11.392,2:1_0055
72.0,0.3002,18.6982,11.5067,2:1_0055
80.0,0.3038,18.1285,11.5217,2:1_0055
80.0,0.3361,17.8692,11.455,2:1_0055
80.0,0.2362,18.1329,11.4501,2:1_0055
96.0,0.2943,16.8609,11.3804,2:1_0055
96.0,0.3097,17.1216,11.3197,2:1_0055
96.0,0.2873,17.1228,11.3016,2:1_0055
104.0,0.3308,16.6283,11.2019,2:1_0055
104.0,0.3181,16.6776,11.5362,2:1_0055
104.0,0.3332,16.5463,11.517,2:1_0055
120.0,0.3069,15.5751,11.433,2:1_0055
120.0,0.3638,15.7612,11.4851,2:1_0055
120.0,0.3319,15.6302,11.3801,2:1_0055
128.0,0.3311,14.9858,11.5279,2:1_0055
128.0,0.3582,15.2033,11.2398,2:1_0055
128.0,0.3377,15.0389,11.4223,2:1_0055
144.0,0.3658,13.8342,11.4055,2:1_0055
144.0,0.3404,13.8295,11.4335,2:1_0055
144.0,0.3741,13.5701,11.2985,2:1_0055
24.0,0.2138,21.2172,9.2458,2:1_0056
24.0,0.2005,21.103,9.1975,2:1_0056
24.0,0.188,21.1634,9.2841,2:1_0056
32.333,0.2325,21.2605,9.3137,2:1_0056
32.333,0.2042,21.0785,9.3022,2:1_0056
32.333,0.2241,21.1157,9.1309,2:1_0056
48.0,0.3266,20.9341,9.0221,2:1_0056
48.0,0.2904,20.9451,9.1638,2:1_0056
48.0,0.3466,21.0334,9.1159,2:1_0056
55.5,0.6847,19.9246,9.1441,2:1_0056
55.5,0.7176,20.0061,9.2452,2:1_0056
55.5,0.7191,20.0581,9.2796,2:1_0056
72.0,2.8152,5.2699,8.9141,2:1_0056
72.0,2.8401,5.2085,8.9486,2:1_0056
72.0,2.8105,5.3101,8.9919,2:1_0056
80.0,3.5156,0.0879,4.3165,2:1_0056
80.0,3.4901,0.0,4.1731,2:1_0056
80.0,3.4976,0.0,4.3093,2:1_0056
96.0,3.7411,0.0083,0.1133,2:1_0056
96.0,3.7904,0.0,0.0,2:1_0056
96.0,3.7836,0.0704,0.0,2:1_0056
104.0,3.7568,0.0082,0.0,2:1_0056
104.0,3.777,0.1083,0.0,2:1_0056
104.0,3.7381,0.1413,0.0219,2:1_0056
120.0,3.7807,0.0,0.0,2:1_0056
120.0,3.7748,0.1028,0.0,2:1_0056
120.0,3.7645,0.0,0.0,2:1_0056
128.0,3.7614,0.0489,0.0,2:1_0056
128.0,3.7929,0.0,0.1294,2:1_0056
128.0,3.7805,0.0852,0.202,2:1_0056
144.0,3.7509,0.0135,0.0,2:1_0056
144.0,3.7645,0.072,0.1127,2:1_0056
144.0,3.7589,0.0,0.0073,2:1_0056
24.0,0.1697,18.2633,10.8744,2:1_0057
24.0,0.1934,18.4693,10.9135,2:1_0057
24.0,0.1866,18.3739,10.9797,2:1_0057
32.333,0.1843,18.4202,11.0201,2:1_0057
32.333,0.2036,18.4093,10.8836,2:1_0057
32.333,0.1811,18.2257,11.026,2:1_0057
48.0,0.1741,18.5132,10.9205,2:1_0057
48.0,0.2156,18.4807,11.0076,2:1_0057
48.0,0.176,18.2992,10.9311,2:1_0057
55.5,0.1564,18.0438,10.7964,2:1_0057
55.5,0.178,18.1502,10.9684,2:1_0057
55.5,0.1915,18.1226,10.8613,2:1_0057
72.0,0.2616,17.2246,10.8537,2:1_0057
72.0,0.2306,17.3185,10.8353,2:1_0057
72.0,0.1847,17.0724,10.8457,2:1_0057
80.0,0.2223,16.5268,10.8693,2:1_0057
80.0,0.2192,16.7222,10.9723,2:1_0057
80.0,0.2314,16.8689,11.0205,2:1_0057
96.0,0.2512,15.4296,10.8396,2:1_0057
96.0,0.2181,15.542,10.9403,2:1_0057
96.0,0.2646,15.5534,11.0126,2:1_0057
104.0,0.2814,14.7606,10.8529,2:1_0057
104.0,0.2597,14.7928,10.8804,2:1_0057
104.0,0.2659,14.8511,10.9048,2:1_0057
120.0,0.2703,13.4171,10.9419,2:1_0057
120.0,0.274,13.2372,11.0216,2:1_0057
120.0,0.3242,13.3899,10.8624,2:1_0057
128.0,0.3262,12.5807,10.8737,2:1_0057
128.0,0.3246,12.4527,10.8257,2:1_0057
128.0,0.3125,12.545,10.9585,2:1_0057
144.0,0.3636,10.5599,10.8888,2:1_0057
144.0,0.3778,10.6555,10.8134,2:1_0057
144.0,0.2949,10.7254,10.943,2:1_0057
24.0,0.2587,18.897,10.4882,2:1_0058
24.0,0.2955,18.7879,10.4547,2:1_0058
24.0,0.2497,18.7813,10.4886,2:1_0058
32.333,1.2225,3.085,10.1238,2:1_0058
32.333,1.2222,3.3944,10.0905,2:1_0058
32.333,1.2288,3.1974,10.1304,2:1_0058
48.0,1.6745,0.0,0.0,2:1_0058
48.0,1.713,0.0,0.0,2:1_0058
48.0,1.6962,0.0005,0.0,2:1_0058
55.5,1.6971,0.0,0.0,2:1_0058
55.5,1.7118,0.0,0.0596,2:1_0058
55.5,1.7165,0.0846,0.0,2:1_0058
72.0,1.6897,0.1041,0.0523,2:1_0058
72.0,1.6957,0.0,0.0,2:1_0058
72.0,1.6934,0.0,0.0794,2:1_0058
80.0,1.6897,0.0,0.0,2:1_0058
80.0,1.6863,0.0,0.142,2:1_0058
80.0,1.7036,0.0,0.0,2:1_0058
96.0,1.6867,0.0126,0.0992,2:1_0058
96.0,1.7266,0.1784,0.0,2:1_0058
96.0,1.7107,0.0426,0.0,2:1_0058
104.0,1.6543,0.0144,0.0,2:1_0058
104.0,1.675,0.0,0.0219,2:1_0058
104.0,1.7177,0.0013,0.0,2:1_0058
120.0,1.6507,0.0458,0.0029,2:1_0058
120.0,1.681,0.1166,0.0,2:1_0058
120.0,1.6783,0.0,0.0,2:1_0058
128.0,1.7031,0.0464,0.1051,2:1_0058
128.0,1.7021,0.0,0.0,2:1_0058
128.0,1.7011,0.0,0.0047,2:1_0058
144.0,1.7022,0.0139,0.0309,2:1_0058
144.0,1.6762,0.135,0.0,2:1_0058
144.0,1.7008,0.0,0.1082,2:1_0058
24.0,0.1735,18.8526,8.689,2:1_0059
24.0,0.2119,18.7777,8.6844,2:1_0059
24.0,0.1898,19.0166,8.5967,2:1_0059
32.333,0.1982,18.7629,8.5802,2:1_0059
32.333,0.1731,18.8965,8.5929,2:1_0059
32.333,0.1852,18.733,8.6906,2:1_0059
48.0,0.2073,18.8097,8.584,2:1_0059
48.0,0.2156,18.7408,8.6671,2:1_0059
48.0,0.2041,18.6382,8.863,2:1_0059
55.5,0.3035,18.4849,8.6923,2:1_0059
55.5,0.333,18.5806,8.6933,2:1_0059
55.5,0.2778,18.4118,8.4781,2:1_0059
72.0,0.7896,15.9949,8.7085,2:1_0059
72.0,0.8093,15.8772,8.7002,2:1_0059
72.0,0.8134,15.706,8.6756,2:1_0059
80.0,1.3149,12.2945,8.3697,2:1_0059
80.0,1.2571,12.1422,8.5584,2:1_0059
80.0,1.2488,12.4168,8.6997,2:1_0059
96.0,2.2837,0.1228,7.0083,2:1_0059
96.0,2.2784,0.2196,7.1233,2:1_0059
96.0,2.2885,0.0,7.0231,2:1_0059
104.0,2.4029,0.1681,3.9726,2:1_0059
104.0,2.4413,0.0581,3.968,2:1_0059
104.0,2.4459,0.0,3.9963,2:1_0059
120.0,2.6133,0.0,0.0351,2:1_0059
120.0,2.5959,0.0,0.0,2:1_0059
120.0,2.622,0.0325,0.0817,2:1_0059
128.0,2.6011,0.0051,0.0,2:1_0059
128.0,2.5933,0.171,0.0891,2:1_0059
128.0,2.5971,0.0,0.0,2:1_0059
144.0,2.5957,0.0108,0.0118,2:1_0059
144.0,2.6113,0.0334,0.0,2:1_0059
144.0,2.6385,0.0,0.0295,2:1_0059
24.0,0.295,20.5621,8.8604,2:1_0060
24.0,0.293,20.4971,8.624,2:1_0060
24.0,0.303,20.4129,8.6356,2:1_0060
32.333,0.292,20.6515,8.7958,2:1_0060
32.333,0.2874,20.3992,8.8753,2:1_0060
32.333,0.287,20.4684,8.7786,2:1_0060
48.0,0.2792,20.4221,8.6574,2:1_0060
48.0,0.275,20.3846,8.5992,2:1_0060
48.0,0.3076,20.5643,8.6408,2:1_0060
55.5,0.3886,20.0403,8.688,2:1_0060
55.5,0.3464,20.0435,8.9069,2:1_0060
55.5,0.3712,20.1092,8.6992,2:1_0060
72.0,0.8649,16.48,8.4573,2:1_0060
72.0,0.8321,16.5082,8.8061,2:1_0060
72.0,0.8434,16.498,8.6391,2:1_0060
80.0,1.235,12.9128,8.5981,2:1_0060
80.0,1.1735,12.582,8.726,2:1_0060
80.0,1.2065,12.6845,8.6929,2:1_0060
96.0,1.8537,2.3168,8.2717,2:1_0060
96.0,1.8566,2.2006,8.2698,2:1_0060
96.0,1.8856,2.3539,8.4213,2:1_0060
104.0,2.0271,0.275,6.9933,2:1_0060
104.0,1.9886,0.2918,6.9651,2:1_0060
104.0,2.0483,0.2736,7.1249,2:1_0060
120.0,2.2401,0.0,1.6219,2:1_0060
120.0,2.2553,0.0335,1.5521,2:1_0060
120.0,2.2656,0.0657,1.3438,2:1_0060
128.0,2.2837,0.1015,0.3686,2:1_0060
128.0,2.255,0.0,0.5226,2:1_0060
128.0,2.2796,0.1294,0.6549,2:1_0060
144.0,2.2657,0.0,0.0,2:1_0060
144.0,2.3174,0.0,0.0,2:1_0060
144.0,2.3272,0.0,0.0,2:1_0060
24.0,0.3218,20.695,9.8017,2:1_0061
24.0,0.3083,20.9008,9.6653,2:1_0061
24.0,0.3304,20.8751,9.6705,2:1_0061
32.333,2.2036,10.29,9.6261,2:1_0061
32.333,2.1785,10.539,9.5884,2:1_0061
32.333,2.2098,10.3978,9.5158,2:1_0061
48.0,3.4083,0.0,0.0375,2:1_0061
48.0,3.4103,0.0187,0.1483,2:1_0061
48.0,3.3957,0.0,0.0,2:1_0061
55.5,3.4228,0.0,0.0017,2:1_0061
55.5,3.4087,0.0,0.2496,2:1_0061
55.5,3.4126,0.0297,0.0,2:1_0061
72.0,3.4295,0.0,0.0446,2:1_0061
72.0,3.4299,0.0,0.0,2:1_0061
72.0,3.3653,0.0,0.0,2:1_0061
80.0,3.389,0.1453,0.0983,2:1_0061
80.0,3.3752,0.0154,0.0,2:1_0061
80.0,3.4192,0.0,0.0,2:1_0061
